word,frequency
spread,12
asleep,12
nymphs,12
beyond,12
dolius,12
picked,12
beg,12
neleus,12
inner,12
north,12
grieve,12
warm,12
seven,12
shoot,12
insolent,12
wealth,12
tale,12
monster,12
pair,12
speech,12
forget,12
huge,12
abode,12
ourselves,12
unless,12
heed,12
dressed,12
abundance,12
plenty,12
wedding,12
wear,12
presence,12
bath,12
charge,12
waggon,12
knows,12
daughters,12
drinking,12
cold,12
hero,11
borne,11
desire,11
happy,11
floor,11
shouted,11
ways,11
keeping,11
hardship,11
wives,11
meant,11
proserpine,11
medon,11
forth,11
air,11
asking,11
brothers,11
hecatombs,11
heroes,11
birds,11
happen,11
theoclymenus,11
business,11
minded,11
dream,11
terrible,11
anointed,11
escaped,11
gatehouse,11
sungod,11
prayers,11
deemed,11
thereon,11
chest,11
stop,11
ears,11
lovely,11
belly,11
shoulder,11
shield,11
paid,11
gates,11
deed,11
philoetius,11
believe,11
particularly,11
money,11
courage,11
lacedaemon,11
linen,11
furious,11
yard,11
staff,11
noise,11
spits,11
companions,11
gives,11
hut,11
short,11
tables,11
polybus,11
egypt,11
instead,11
choose,11
mules,11
closed,11
kinds,11
lord,10
misfortunes,10
wand,10
ate,10
yards,10
folly,10
around,10
sang,10
learn,10
bowl,10
peleus,10
seemed,10
carrying,10
beneath,10
danaans,10
meantime,10
drank,10
dust,10
flesh,10
rule,10
smoke,10
plot,10
reasonable,10
hurried,10
amphinomus,10
anger,10
speed,10
low,10
food,10
horse,10
station,10
grey,10
lit,10
labour,10
heavens,10
daybreak,10
meet,10
council,10
immediately,10
eurynome,10
saved,10
roof,10
turning,10
offerings,10
loaded,10
human,10
savage,10
died,10
waited,10
seas,10
endowed,10
road,10
washing,10
icarius,10
remain,10
share,10
cups,10
orders,10
couch,10
often,10
ashamed,10
forest,10
achaean,10
completed,10
received,10
finished,10
soft,10
hospitably,10
quarrel,10
loosed,10
gate,10
driving,10
ram,10
hearth,10
fury,10
setting,10
brother,10
quick,10
says,10
dropped,10
driven,10
disposed,10
song,10
expect,10
stones,10
attend,10
heavily,10
wooded,9
mixingbowl,9
laughing,9
worked,9
shirts,9
working,9
troubles,9
salt,9
sirens,9
spare,9
divine,9
rage,9
gifts,9
consider,9
small,9
sense,9
deeds,9
cover,9
beautifully,9
displeased,9
suffering,9
elsewhere,9
doubt,9
shut,9
perish,9
travelled,9
doorway,9
worn,9
ere,9
mercy,9
miserable,9
drawn,9
honoured,9
phemius,9
months,9
holding,9
aldermen,9
trial,9
furthermore,9
respected,9
suppliant,9
early,9
greatly,9
cows,9
fool,9
fountain,9
reason,9
silence,9
laodamas,9
danger,9
cheeks,9
cause,9
dwell,9
contest,9
portion,9
bearingposts,9
raiment,9
sailors,9
frightened,9
flying,9
favour,9
wallet,9
tall,9
ajax,9
wretch,9
treasure,9
lands,9
easily,9
prophet,9
treated,9
dancing,9
lion,9
putting,9
grieving,9
south,9
host,9
aloud,9
hearing,9
younger,9
row,9
clouds,9
delighted,9
helmet,9
cease,9
ox,9
councillors,9
seals,9
rate,9
known,9
cross,9
feed,9
fancy,9
double,9
gale,9
mountains,9
prize,8
suppliants,8
second,8
substance,8
grapes,8
sparta,8
eagle,8
ewes,8
yoke,8
disgrace,8
tear,8
prevent,8
wherever,8
admired,8
divided,8
quarter,8
besides,8
wanting,8
opposite,8
breath,8
wants,8
idomeneus,8
burning,8
noman,8
scar,8
dress,8
sometimes,8
hercules,8
couple,8
line,8
orestes,8
waste,8
veil,8
wore,8
order,8
satisfied,8
thrice,8
east,8
wooing,8
priam,8
dance,8
sending,8
homeward,8
prove,8
message,8
sheer,8
lot,8
thither,8
torches,8
takes,8
thrown,8
agelaus,8
axes,8
famous,8
throwing,8
loom,8
five,8
manage,8
cloud,8
crossed,8
farm,8
chiefs,8
coast,8
aeolus,8
taller,8
loss,8
tongue,8
dry,8
saturn,8
yours,8
islands,8
milk,8
staying,8
voices,8
nearly,8
