word,frequency
islands,7
hollered,7
teeth,7
bow,7
bob,7
crazy,7
bein,7
carry,7
knife,7
nohow,7
deef,7
stir,7
lookout,7
bully,7
least,7
kn,7
common,7
timber,7
foolish,7
often,7
vittles,7
calico,7
booming,7
havent,7
iii,7
druther,7
lamp,7
leanto,7
loafers,7
glory,7
goin,7
stirred,7
starting,7
yell,7
aroun,7
jack,7
orgies,7
path,7
splendid,7
yuther,7
news,7
blowed,7
gave,7
 as,7
rob,7
passage,7
mainly,7
rubbage,7
wagon,7
lazy,7
cleared,7
proud,7
spoons,7
accounts,7
stephen,7
storm,7
cost,7
reach,7
and,7
jumps,7
question,7
bills,7
aholt,7
pipe,7
lemme,7
joy,7
romeo,7
acted,7
lead,7
sakes,7
nigh,6
strike,6
hog,6
wink,6
touched,6
lots,6
pirate,6
music,6
lays,6
dowling,6
pen,6
candlestick,6
studied,6
wondering,6
ony,6
turner,6
joyful,6
act,6
lively,6
floated,6
richard,6
knocked,6
 about,6
noble,6
drifting,6
spirits,6
thatair,6
picks,6
spring,6
 after,6
eleven,6
peeped,6
hove,6
feud,6
whooping,6
thin,6
bent,6
lock,6
slim,6
pieces,6
hitched,6
move,6
yaller,6
buttons,6
packed,6
pistol,6
feather,6
wet,6
emmeline,6
ransomed,6
stage,6
packard,6
 next,6
firstrate,6
hooker,6
grave,6
asking,6
fight,6
upper,6
cam,6
stile,6
willow,6
servant,6
shows,6
couldn,6
sheep,6
forever,6
steady,6
aunty,6
campmeeting,6
conscience,6
helped,6
fr,6
fo,6
ye,6
reason,6
nat,6
plug,6
smiled,6
singing,6
farm,6
stump,6
nailed,6
grab,6
kep,6
cent,6
treat,6
freedom,6
tongue,6
 le,6
lothrop,6
plantation,6
explain,6
landing,6
shin,6
authorities,6
marks,6
sunup,6
henry,6
plumb,6
pint,6
 his,6
elephants,6
raising,6
nuffn,6
according,6
coffee,6
sleeping,6
pile,6
broken,6
robinson,6
walls,6
needle,6
treated,6
itself,6
howd,6
howl,6
blankets,6
snag,6
pet,6
hoped,6
single,6
cooked,6
spell,6
fourteen,6
bear,6
brung,6
passing,6
rise,6
changed,6
poked,6
clapped,6
washed,6
rail,6
borrowed,6
faces,6
trust,6
expected,6
uncommon,6
scrabble,6
 dat,6
trip,6
tis,6
cook,6
chicken,6
witch,6
ferry,6
underneath,6
 go,6
bought,6
afterwards,6
spirit,6
rubbed,6
tragedy,6
flat,6
strange,6
bigger,6
bfo,6
moses,6
pa,6
built,6
 say,6
 pap,6
ringmaster,6
grangerfords,6
considable,6
backs,6
hooks,6
sis,6
shell,6
swift,6
slave,6
stirring,6
lord,5
caseknives,5
 haint,5
anywheres,5
doors,5
doin,5
abreast,5
cubby,5
 miss,5
obleeged,5
roll,5
whoever,5
settle,5
working,5
suspicion,5
quite,5
vote,5
laws,5
prime,5
stretch,5
shanty,5
summer,5
case,5
sand,5
thousn,5
clock,5
deyd,5
hundd,5
plans,5
smiling,5
skipped,5
arter,5
barrel,5
britches,5
opinion,5
halfpast,5
perfect,5
cuss,5
fields,5
owner,5
stomach,5
inscriptions,5
should,5
meant,5
means,5
lucky,5
digging,5
less,5
necks,5
blowing,5
thirtyfive,5
whack,5
elexander,5
sarah,5
elbow,5
green,5
slavery,5
rocks,5
reached,5
yourn,5
streets,5
swamp,5
dr,5
thanks,5
huckleberry,5
board,5
grateful,5
flash,5
trial,5
prove,5
abner,5
nom,5
sot,5
bekase,5
acomin,5
sawdust,5
fortune,5
arabs,5
everywheres,5
month,5
ast,5
bless,5
expecting,5
alongside,5
bots,5
belong,5
showing,5
missus,5
step,5
harem,5
rattling,5
rotten,5
daybreak,5
manage,5
servants,5
meet,5
chained,5
ourn,5
baldhead,5
whisper,5
journal,5
north,5
dukes,5
downstream,5
greasy,5
kean,5
fooled,5
bar,5
interest,5
onehorse,5
facts,5
yer,5
skin,5
mill,5
string,5
lynch,5
sake,5
smouch,5
tall,5
living,5
sounds,5
gaudy,5
sailing,5
lick,5
channel,5
graveyard,5
nonnamous,5
mob,5
seconds,5
sunk,5
